Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status
008R12896;ru;1;Тонеры///Бункеры отработанного тонера;0.00;0.0;0.00;0.00;0;0.00;;N;;N;B;N;R;;;008R12896 Контейнер для отработанного тонера (100K) Xerox WC 5845/5855/5865/5875/5890 (O);Товары под заказ;;;;;;;;;N;N;N;008R12896-Konteiner-dlya-otrabotannogo-tonera-100K-Xerox-WC-58455855586558755890-O;;D
008R12897;ru;2;Картриджи лазерные///Картриджи со скрепками;0.00;0.0;0.00;0.00;0;0.00;;N;;N;B;N;R;;;008R12897 Скрепки буклетмейкера (8X2K) Xerox WC5210/5220/5632/5845/WCP75/90/165/175 (O);Товары под заказ;;;;;;;;;N;N;N;008R12897-Skrepki-bukletmeikera-8X2K-Xerox-WC5210522056325845WCP7590165175-O;;D
016189100;ru;3;Тонеры///Бункеры отработанного тонера;0.00;0.0;0.00;0.00;0;0.00;;N;;N;B;N;R;;;016189100 Бункер отработанного тонера Xerox Phaser7700 (O);Товары под заказ;;;;;;;;;N;N;N;016189100-Bunker-otrabotannogo-tonera-Xerox-Phaser7700-O;;D
1010108040;ru;4;Тонеры///Тонеры черные;0.00;158.13072;0.00;40.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon PC/FC (Hi-Black) Тип 2.3, 150 г, банка;Товары TOP80 FC-1/2/3/4/5/100/108/128/200/204/206/208/210/220/224/226/228/230/310/330/336/530, PC-6/7/7RE/11/12/10/14/15/20/22/25/740/750/760/770/780/860/880/890, для картриджей: E-16/E-30, FC, PC,;;;;;;;;;N;N;N;Toner-Canon-PCFC-HiBlack-Tip-23-150-g-banka;;A
1010108042;ru;5;Тонеры///Тонеры черные;0.00;853.5912;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon PC/FC (Hi-Black) Тип 2.3, 900 г, канистра; FC-1/2/3/4/5/100/108/128/200/204/206/208/210/220/224/226/228/230/310/330/336/530, PC-6/7/7RE/11/12/10/14/15/20/22/25/740/750/760/770/780/860/880/890, для картриджей: E-16/E-30, FC, PC,;;;;;;;;;N;N;N;Toner-Canon-PCFC-HiBlack-Tip-23-900-g-kanistra;;A
1010108050;ru;6;Тонеры///Тонеры черные;0.00;715.9152;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR2230/2270/3035 (Hi-Black) 600 г, канистра;Новинка iR2230/iR2270/iR2870/iR3025/iR3025n/3035n/3045/3045n/3035/3530/3570/4570, для картриджей: C-EXV11/C-EXV12/NPG-25/GPR-15/GPR-16, ресурс 12К,;;;;;;;;;N;N;N;Toner-Canon-iR223022703035-HiBlack-600-g-kanistra;;A
1010108060;ru;7;Тонеры///Тонеры черные;0.00;833.9232000000001;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR2520/2525/2530 (Hi-Black) 700 г, канистра;Новинка iR 2520/2520i/2525/2525i/2530/2530i, для картриджей: C-EXV33/NPG-51/GPR-35,;;;;;;;;;N;N;N;Toner-Canon-iR252025252530-HiBlack-700-g-kanistra;;A
1010108070;ru;8;Тонеры///Тонеры черные;0.00;448.4304;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR1133/1133A/1133if (Hi-Black) 300 г, канистра;Новинка;;;;;;;;;N;N;N;Toner-Canon-iR11331133A1133if-HiBlack-300-g-kanistra;;A
10101085;ru;9;Тонеры///Тонеры цветные;0.00;2277.5544;0.00;1.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/10101085.jpg;Тонер HP CLJ Универсальный CP1025 (Hi-Black) Тип 1.0, BK, Сферизованный, 585 г, канистра;Товары TOP80 HP CLJ 2600/3000/3500/3550/3600/3700/3800/4600/4700, CP1025/Pro 100 Col M175, CM1300/CM1312/CP1210/CP1215/CP1515/CP1518/CP1525/CM1415/CP3525/CP4005/CP5225, Canon LBP 5000/5050/MF8050/LBP 7010/7018//LBP7200, Minolta QMS 2300/2400, для картриджей: Q6000A/Q2670A/Q6470/C9720A/CE310A/CB540A/CE320A/CC530A/CE250X/CB400A/CE740A, Canon № 707/716/№ 718/№ 729;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-CP1025-HiBlack-Tip-10-BK-Sferizovannyi-585-g-kanistra;;A
10101086;ru;10;Тонеры///Тонеры цветные;0.00;2277.5544;0.00;7.00;0;0.00;;N;;N;B;N;R;;;Тонер HP CLJ Универсальный CP1025 (Hi-Color)Тип 1.0, C, Сферизованный, 585 г, канистра;Товары TOP80 HP CLJ 2600/3000/3500/3550/3600/3700/3800/4600/4700, CP1025/Pro 100 Col M175, CM1300/CM1312/CP1210/CP1215/CP1515/CP1518/CP1525/CM1415/CP3525/CP4005/CP5225, Canon LBP 5000/5050/MF8050/LBP 7010/7018/LBP7200, Minolta QMS 2300/2400, для картриджей: Q6001A/Q2671A/Q6471/Q7581A/C9721A/CE311A/CB541A/CE321A/CC531A/CE251A/CB401A/CE741A, Canon № 707/716/№ 718/№ 729;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-CP1025-HiColorTip-10-C-Sferizovannyi-585-g-kanistra;;A
